"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"17","Keenan Allen (LAC)","15","71","1,046","14.7","650","9.2","650","9.2","396","5.6","0","0.0","0","104","19.4%","71","5","19","52","16","5","1","0","43"
"18","Julian Edelman (FA)","16","105","1,056","10.1","559","5.3","559","5.3","497","4.7","0","0.0","0","151","24.4%","105","13","23","39","9","4","2","0","44"
"19","T.Y. Hilton (FA)","16","82","1,083","13.2","703","8.6","703","8.6","380","4.6","0","0.0","0","138","27.2%","82","6","14","36","13","8","6","3","73"
"20","Torrey Smith (FA)","16","65","1,128","17.4","768","11.8","768","11.8","360","5.5","0","0.0","0","137","22.3%","65","5","17","43","20","9","8","3","74"
"21","Marvin Jones Jr. (JAC)","16","51","712","14.0","488","9.6","488","9.6","224","4.4","0","0.0","0","80","13.9%","51","3","14","31","10","3","2","0","45"
"22","Riley Cooper (FA)","16","47","835","17.8","606","12.9","606","12.9","229","4.9","0","0.0","0","84","17.0%","47","4","11","33","13","8","6","1","63"
"23","Wes Welker (FA)","13","73","778","10.7","456","6.2","456","6.2","322","4.4","0","0.0","0","111","16.6%","73","10","23","35","12","3","0","0","33"
"24","Michael Floyd (FA)","16","65","1,041","16.0","759","11.7","759","11.7","282","4.3","0","0.0","0","112","19.9%","65","5","13","48","17","6","3","1","91"
"25","Mike Wallace (FA)","16","73","930","12.7","657","9.0","657","9.0","273","3.7","0","0.0","0","141","24.2%","73","12","11","39","11","7","5","2","57"
"26","Brian Hartline (FA)","16","76","1,016","13.4","747","9.8","747","9.8","269","3.5","0","0.0","0","133","22.9%","76","5","10","50","14","4","1","1","50"
"27","Marques Colston (FA)","15","75","943","12.6","695","9.3","695","9.3","248","3.3","0","0.0","0","110","17.1%","75","3","15","44","13","2","0","0","35"
"28","Golden Tate (FA)","16","64","898","14.0","424","6.6","424","6.6","474","7.4","0","0.0","0","98","21.0%","64","3","7","37","12","6","3","1","80"
"29","Victor Cruz (FA)","14","73","998","13.7","748","10.2","748","10.2","250","3.4","0","0.0","0","122","21.8%","73","5","11","43","10","4","3","3","70"
"30","Kendall Wright (FA)","16","94","1,079","11.5","531","5.6","531","5.6","548","5.8","0","0.0","0","140","26.6%","94","8","8","50","17","5","1","0","45"
"31","Jerricho Cotchery (FA)","16","46","602","13.1","386","8.4","386","8.4","216","4.7","0","0.0","0","76","13.1%","46","4","17","28","9","2","0","0","36"
"32","Harry Douglas (FA)","16","85","1,067","12.6","557","6.6","557","6.6","510","6.0","0","0.0","0","132","20.5%","85","9","14","39","13","8","5","3","80"
"33","Emmanuel Sanders (FA)","16","67","740","11.0","445","6.6","445","6.6","295","4.4","0","0.0","0","112","19.3%","67","5","16","26","12","5","3","1","55"
"34","Rod Streater (FA)","16","60","888","14.8","574","9.6","574","9.6","314","5.2","0","0.0","0","99","19.5%","60","4","10","38","10","4","3","1","66"
"35","Eddie Royal (FA)","15","47","631","13.4","291","6.2","291","6.2","340","7.2","0","0.0","0","67","12.5%","47","4","14","27","12","3","1","1","54"
"36","Nate Washington (FA)","16","58","919","15.8","686","11.8","686","11.8","233","4.0","0","0.0","0","104","19.8%","58","4","5","38","11","9","3","1","77"
"37","Doug Baldwin (FA)","16","50","778","15.6","551","11.0","551","11.0","227","4.5","0","0.0","0","73","17.8%","50","2","8","28","14","5","3","2","52"
"38","Greg Jennings (FA)","15","68","804","11.8","462","6.8","462","6.8","342","5.0","0","0.0","0","105","19.6%","68","5","11","28","11","3","2","2","70"
"39","Terrance Williams (FA)","16","44","736","16.7","532","12.1","532","12.1","204","4.6","0","0.0","0","74","12.8%","44","4","9","28","12","5","3","3","82"
"40","Denarius Moore (FA)","13","46","695","15.1","421","9.2","421","9.2","274","6.0","0","0.0","0","86","16.9%","46","5","10","31","9","5","1","1","73"
"41","Steve Smith (FA)","15","64","745","11.6","567","8.9","567","8.9","178","2.8","0","0.0","0","110","23.6%","64","5","14","38","4","2","2","0","44"
"42","James Jones (FA)","14","59","817","13.8","452","7.7","452","7.7","365","6.2","0","0.0","0","93","16.8%","59","2","13","24","12","6","4","3","83"
"43","Dwayne Bowe (FA)","15","57","673","11.8","476","8.4","476","8.4","197","3.5","0","0.0","0","103","19.3%","57","8","14","30","9","1","0","0","34"
"44","Marlon Brown (FA)","14","49","524","10.7","287","5.9","287","5.9","237","4.8","0","0.0","0","83","13.5%","49","6","13","20","6","2","1","1","59"
"45","Cecil Shorts (FA)","13","66","777","11.8","502","7.6","502","7.6","275","4.2","0","0.0","0","125","21.4%","66","10","14","35","10","1","1","1","59"
"46","Kenny Stills (FA)","16","32","641","20.0","444","13.9","444","13.9","197","6.2","0","0.0","0","50","7.8%","32","1","2","22","7","6","5","4","76"
"47","Rueben Randle (FA)","16","41","611","14.9","413","10.1","413","10.1","198","4.8","0","0.0","0","79","14.1%","41","5","4","25","16","1","0","0","37"
"48","Brandon LaFell (FA)","16","49","627","12.8","370","7.6","370","7.6","257","5.2","0","0.0","0","85","18.2%","49","8","7","28","5","3","1","1","79"
"49","DeAndre Hopkins (ARI)","16","52","802","15.4","621","11.9","621","11.9","181","3.5","0","0.0","0","91","14.7%","52","1","11","34","12","6","2","1","66"
"50","Hakeem Nicks (FA)","15","56","896","16.0","629","11.2","629","11.2","267","4.8","0","0.0","0","101","18.0%","56","7","10","35","14","8","4","2","57"
"51","Ted Ginn Jr. (FA)","16","36","556","15.4","345","9.6","345","9.6","211","5.9","0","0.0","0","68","16.6%","36","3","5","24","10","6","2","0","47"
"52","Roddy White (FA)","13","63","711","11.3","596","9.5","596","9.5","115","1.8","0","0.0","0","97","14.9%","63","8","10","25","8","2","0","0","39"
"53","Jarrett Boykin (FA)","16","49","681","13.9","425","8.7","425","8.7","256","5.2","0","0.0","0","83","15.0%","49","5","14","28","10","5","2","1","52"
"54","Tavon Austin (FA)","13","40","418","10.5","188","4.7","188","4.7","230","5.8","0","0.0","0","69","12.3%","40","5","10","9","5","3","2","2","81"
"55","Robert Woods (TEN)","14","40","587","14.7","476","11.9","476","11.9","111","2.8","0","0.0","0","85","16.4%","40","4","6","22","9","3","2","1","57"
"56","Steve Johnson (FA)","12","52","597","11.5","386","7.4","386","7.4","211","4.1","0","0.0","0","101","19.5%","52","8","12","29","6","2","1","0","45"
"57","Jerome Simpson (FA)","16","48","726","15.1","556","11.6","556","11.6","170","3.5","0","0.0","0","100","18.7%","48","4","8","26","12","6","3","1","51"
"58","Aaron Dobson (FA)","12","37","519","14.0","334","9.0","334","9.0","185","5.0","0","0.0","0","72","11.7%","37","9","9","18","6","3","2","2","81"
"59","Danny Amendola (FA)","12","54","633","11.7","381","7.1","381","7.1","252","4.7","0","0.0","0","83","13.4%","54","8","6","27","8","4","1","1","57"
"60","Randall Cobb (GB)","6","31","433","14.0","258","8.3","258","8.3","175","5.6","0","0.0","0","47","8.5%","31","1","9","19","6","3","1","0","48"
"61","Jeremy Kerley (FA)","12","43","523","12.2","345","8.0","345","8.0","178","4.1","0","0.0","0","72","14.6%","43","1","8","27","7","0","0","0","26"
"62","Kenbrell Thompkins (FA)","12","32","466","14.6","327","10.2","327","10.2","139","4.3","0","0.0","0","69","11.2%","32","4","10","18","8","3","1","0","49"
"63","Donnie Avery (FA)","16","40","596","14.9","413","10.3","413","10.3","183","4.6","0","0.0","0","72","13.5%","40","5","4","22","10","6","3","1","51"
"64","Julio Jones (TB)","5","41","580","14.1","335","8.2","335","8.2","245","6.0","0","0.0","0","60","9.2%","41","5","9","21","9","3","3","1","81"
"65","Tiquan Underwood (FA)","12","24","440","18.3","338","14.1","338","14.1","102","4.3","0","0.0","0","46","9.3%","24","2","4","14","7","3","2","1","85"
"66","Reggie Wayne (FA)","7","38","503","13.2","345","9.1","345","9.1","158","4.2","0","0.0","0","58","10.1%","38","4","7","22","8","2","0","0","35"
"67","Austin Pettis (FA)","16","38","399","10.5","281","7.4","281","7.4","118","3.1","0","0.0","0","63","12.5%","38","2","8","14","4","1","0","0","31"
"68","Jarius Wright (FA)","16","26","434","16.7","316","12.2","316","12.2","118","4.5","0","0.0","0","43","8.0%","26","1","2","19","10","3","1","0","42"
"69","Ace Sanders (FA)","15","51","484","9.5","187","3.7","187","3.7","297","5.8","0","0.0","0","86","14.7%","51","4","10","18","8","2","1","1","51"
"70","Justin Hunter (FA)","14","18","354","19.7","263","14.6","263","14.6","91","5.1","0","0.0","0","42","8.0%","18","5","4","11","5","5","4","2","57"
"71","Andre Roberts (CAR)","16","43","471","11.0","358","8.3","358","8.3","113","2.6","0","0.0","0","76","13.5%","43","2","6","19","3","2","0","0","34"
"72","Kris Durham (FA)","16","38","490","12.9","367","9.7","367","9.7","123","3.2","0","0.0","0","85","13.6%","38","10","11","18","7","3","1","0","40"
"73","Greg Little (FA)","16","41","465","11.3","275","6.7","275","6.7","190","4.6","0","0.0","0","99","14.8%","41","9","12","18","4","4","3","0","47"
"74","Mohamed Sanu Sr. (FA)","16","47","455","9.7","201","4.3","201","4.3","254","5.4","0","0.0","0","78","13.5%","47","6","11","22","4","1","0","0","32"
"75","Jacoby Jones (FA)","12","37","455","12.3","347","9.4","347","9.4","108","2.9","0","0.0","0","67","10.9%","37","1","4","17","5","3","1","1","66"
"76","Rishard Matthews (FA)","16","41","448","10.9","297","7.2","297","7.2","151","3.7","0","0.0","0","67","11.5%","41","1","5","21","7","0","0","0","29"
"77","Jermaine Kearse (FA)","15","22","346","15.7","309","14.0","309","14.0","37","1.7","0","0.0","0","38","9.3%","22","3","10","13","5","2","2","0","43"
"78","Chris Givens (FA)","16","34","569","16.7","312","9.2","312","9.2","257","7.6","0","0.0","0","83","16.5%","34","6","12","26","13","3","1","0","47"
"79","Santana Moss (FA)","16","42","452","10.8","270","6.4","270","6.4","182","4.3","0","0.0","0","78","13.0%","42","8","7","24","2","0","0","0","28"
"80","Lance Moore (FA)","13","37","457","12.4","390","10.5","390","10.5","67","1.8","0","0.0","0","54","8.4%","37","4","6","22","5","2","1","0","44"
"81","Leonard Hankerson (FA)","10","30","375","12.5","244","8.1","244","8.1","131","4.4","0","0.0","0","50","8.3%","30","3","6","17","5","0","0","0","29"
"82","Jason Avant (FA)","16","38","447","11.8","365","9.6","365","9.6","82","2.2","0","0.0","0","76","15.4%","38","3","10","18","9","1","0","0","31"
"83","Jerrel Jernigan (FA)","15","29","329","11.3","203","7.0","203","7.0","126","4.3","0","0.0","0","44","7.9%","29","1","2","14","3","1","0","0","30"
"84","Mike Brown (FA)","11","32","446","13.9","292","9.1","292","9.1","154","4.8","0","0.0","0","56","9.6%","32","4","7","19","6","2","1","0","43"
"85","David Nelson (FA)","12","36","423","11.8","315","8.8","315","8.8","108","3.0","0","0.0","0","61","12.8%","36","2","11","18","5","1","0","0","31"
"86","Vincent Brown (FA)","16","41","472","11.5","388","9.5","388","9.5","84","2.0","0","0.0","0","69","12.9%","41","1","8","23","3","2","1","1","51"
"87","Santonio Holmes (FA)","11","23","456","19.8","332","14.4","332","14.4","124","5.4","0","0.0","0","59","12.3%","23","7","4","19","9","5","2","1","69"
"88","Nate Burleson (FA)","9","39","461","11.8","245","6.3","245","6.3","216","5.5","0","0.0","0","54","8.7%","39","4","4","15","8","2","2","0","47"
"89","Brandon Gibson (FA)","7","30","326","10.9","213","7.1","213","7.1","113","3.8","0","0.0","0","43","7.4%","30","3","7","13","3","1","1","0","46"
"90","Earl Bennett (FA)","15","32","243","7.6","182","5.7","182","5.7","61","1.9","0","0.0","0","43","7.5%","32","2","7","9","0","0","0","0","17"
"91","Andre Holmes (FA)","10","25","431","17.2","320","12.8","320","12.8","111","4.4","0","0.0","0","52","10.2%","25","2","6","20","10","3","1","0","40"
"92","Cole Beasley (FA)","14","39","368","9.4","185","4.7","185","4.7","183","4.7","0","0.0","0","54","10.7%","39","1","7","16","2","0","0","0","23"
"93","Davone Bess (FA)","14","42","362","8.6","213","5.1","213","5.1","149","3.5","0","0.0","0","86","12.8%","42","14","6","16","1","0","0","0","20"
"94","Aldrick Robinson (FA)","16","18","365","20.3","279","15.5","279","15.5","86","4.8","0","0.0","0","46","7.7%","18","3","2","15","5","5","3","1","62"
"95","Trevor Graham (FA)","16","23","361","15.7","283","12.3","283","12.3","78","3.4","0","0.0","0","58","11.2%","23","4","4","12","6","5","3","0","47"
"96","Justin Blackmon (FA)","4","29","415","14.3","196","6.8","196","6.8","219","7.6","0","0.0","0","48","8.2%","29","2","9","18","4","2","1","1","67"
"97","Marquise Goodwin (SEA)","12","17","283","16.6","238","14.0","238","14.0","45","2.6","0","0.0","0","32","6.2%","17","1","1","10","5","3","3","1","59"
"98","Robert Meachem (FA)","15","16","324","20.3","237","14.8","237","14.8","87","5.4","0","0.0","0","30","4.7%","16","1","0","10","5","4","3","1","60"
"99","Brian Quick (FA)","16","18","302","16.8","197","10.9","197","10.9","105","5.8","0","0.0","0","34","6.8%","18","4","11","11","5","1","1","1","73"
"100","Darrius Heyward-Bey (FA)","16","29","309","10.7","185","6.4","185","6.4","124","4.3","0","0.0","0","64","11.1%","29","9","10","16","2","0","0","0","27"
"101","Sidney Rice (FA)","8","15","231","15.4","211","14.1","211","14.1","20","1.3","0","0.0","0","35","8.6%","15","0","5","12","5","1","0","0","31"
"102","Kevin Ogletree (FA)","16","21","269","12.8","179","8.5","179","8.5","90","4.3","0","0.0","0","45","9.4%","21","4","3","11","4","2","1","0","43"
"103","Andre Caldwell (FA)","16","16","200","12.5","159","9.9","159","9.9","41","2.6","0","0.0","0","29","4.3%","16","2","4","10","2","1","0","0","36"
"104","Stephen Hill (FA)","12","24","342","14.3","251","10.5","251","10.5","91","3.8","0","0.0","0","59","12.3%","24","3","5","12","5","4","2","1","51"
"105","Griff Whalen (FA)","9","24","259","10.8","138","5.8","138","5.8","121","5.0","0","0.0","0","40","6.9%","24","2","8","8","3","0","0","0","25"
"106","Keshawn Martin (FA)","16","22","253","11.5","164","7.5","164","7.5","89","4.0","0","0.0","0","40","7.5%","22","3","5","11","3","1","0","0","32"
"107","Michael Crabtree (FA)","5","19","284","14.9","147","7.7","147","7.7","137","7.2","0","0.0","0","33","8.0%","19","1","5","12","3","2","2","1","60"
"108","Mike Williams (FA)","6","22","216","9.8","149","6.8","149","6.8","67","3.0","0","0.0","0","40","8.1%","22","2","7","10","1","0","0","0","28"
"109","Drew Davis (FA)","16","12","216","18.0","106","8.8","106","8.8","110","9.2","0","0.0","0","17","2.6%","12","1","1","8","5","2","1","1","59"
"110","Stedman Bailey (FA)","16","17","226","13.3","180","10.6","180","10.6","46","2.7","0","0.0","0","25","5.0%","17","1","2","12","2","0","0","0","28"
"111","Da'Rick Rogers (FA)","5","14","192","13.7","75","5.4","75","5.4","117","8.4","0","0.0","0","23","4.0%","14","2","3","9","1","1","1","1","69"
"112","Kerry Taylor (FA)","10","22","229","10.4","145","6.6","145","6.6","84","3.8","0","0.0","0","34","6.0%","22","2","2","11","0","0","0","0","17"
"113","Tandon Doss (FA)","15","19","305","16.1","219","11.5","219","11.5","86","4.5","0","0.0","0","36","5.4%","19","4","3","13","6","2","2","1","63"
"114","LaVon Brazill (FA)","10","12","161","13.4","108","9.0","108","9.0","53","4.4","0","0.0","0","27","4.0%","12","1","5","9","1","0","0","0","29"
"115","Darius Johnson (FA)","10","22","210","9.5","127","5.8","127","5.8","83","3.8","0","0.0","0","43","6.6%","22","4","6","14","0","0","0","0","17"
"116","Miles Austin (FA)","11","24","244","10.2","143","6.0","143","6.0","101","4.2","0","0.0","0","49","8.4%","24","3","1","11","1","0","0","0","20"
"117","Josh Morgan (FA)","14","20","214","10.7","119","6.0","119","6.0","95","4.8","0","0.0","0","33","5.5%","20","3","1","11","1","0","0","0","21"
"118","Junior Hemingway (FA)","16","13","125","9.6","102","7.8","102","7.8","23","1.8","0","0.0","0","19","3.6%","13","0","2","6","1","0","0","0","24"
"119","Andrew Hawkins (FA)","8","12","199","16.6","63","5.3","63","5.3","136","11.3","0","0.0","0","18","3.1%","12","1","0","7","4","3","1","1","50"
"120","Jaron Brown (FA)","16","11","140","12.7","108","9.8","108","9.8","32","2.9","0","0.0","0","18","3.2%","11","0","1","6","1","1","0","0","32"
"121","Dwayne Harris (FA)","13","9","80","8.9","44","4.9","44","4.9","36","4.0","0","0.0","0","14","2.4%","9","3","2","4","1","0","0","0","24"
"122","Marcus Thigpen (FA)","16","8","97","12.1","22","2.8","22","2.8","75","9.4","0","0.0","0","11","1.6%","8","1","3","3","1","1","1","1","50"
"123","Damian Williams (FA)","10","15","178","11.9","131","8.7","131","8.7","47","3.1","0","0.0","0","23","4.4%","15","2","0","7","3","1","0","0","32"
"124","Michael Preston (FA)","7","5","37","7.4","33","6.6","33","6.6","4","0.8","0","0.0","0","7","1.3%","5","0","3","1","0","0","0","0","10"
"125","DeVier Posey (FA)","14","15","155","10.3","81","5.4","81","5.4","74","4.9","0","0.0","0","25","4.0%","15","0","2","7","1","1","1","0","42"
"126","Malcom Floyd (FA)","2","6","149","24.8","137","22.8","137","22.8","12","2.0","0","0.0","0","11","2.1%","6","1","1","5","3","2","1","0","47"
"127","Jeremy Ross (FA)","13","6","67","11.2","48","8.0","48","8.0","19","3.2","0","0.0","0","12","2.9%","6","2","3","3","0","0","0","0","19"
"128","Greg Salas (FA)","8","8","143","17.9","65","8.1","65","8.1","78","9.8","0","0.0","0","13","2.7%","8","0","1","5","3","2","1","0","44"
"129","Brittan Golden (FA)","5","4","136","34.0","61","15.3","61","15.3","75","18.8","0","0.0","0","10","1.8%","4","0","0","3","2","2","2","2","63"
"130","Kyle Williams (FA)","10","12","113","9.4","56","4.7","56","4.7","57","4.8","0","0.0","0","27","4.9%","12","1","1","4","0","0","0","0","16"
"131","A.J. Jenkins (FA)","16","8","130","16.3","86","10.8","86","10.8","44","5.5","0","0.0","0","17","3.2%","8","2","2","4","3","1","1","0","48"
"132","Travis Benjamin (FA)","8","5","105","21.0","45","9.0","45","9.0","60","12.0","0","0.0","0","13","1.9%","5","1","0","4","4","1","0","0","39"
"133","Jeff Maehl (FA)","16","4","67","16.8","33","8.3","33","8.3","34","8.5","0","0.0","0","9","1.8%","4","2","1","2","1","1","0","0","37"
"134","Seyi Ajirotutu (FA)","14","3","64","21.3","62","20.7","62","20.7","2","0.7","0","0.0","0","4","0.7%","3","0","0","3","2","0","0","0","26"
"135","Edmond Gates (FA)","6","12","122","10.2","96","8.0","96","8.0","26","2.2","0","0.0","0","24","5.0%","12","3","1","5","1","1","0","0","34"
"136","Josh Boyce (FA)","9","9","121","13.4","43","4.8","43","4.8","78","8.7","0","0.0","0","19","3.1%","9","4","2","5","3","1","0","0","30"
"137","Domenik Hixon (FA)","15","7","55","7.9","46","6.6","46","6.6","9","1.3","0","0.0","0","9","1.9%","7","0","1","2","0","0","0","0","14"
"138","Brandon Stokley (FA)","6","13","115","8.8","55","4.2","55","4.2","60","4.6","0","0.0","0","21","3.4%","13","1","1","4","0","0","0","0","18"
"139","Chris Owusu (FA)","9","13","114","8.8","75","5.8","75","5.8","39","3.0","0","0.0","0","20","4.0%","13","0","0","4","1","0","0","0","20"
"140","Brice Butler (FA)","10","9","103","11.4","72","8.0","72","8.0","31","3.4","0","0.0","0","17","3.3%","9","3","0","3","2","0","0","0","29"
"141","Kenny Britt (FA)","12","11","96","8.7","83","7.5","83","7.5","13","1.2","0","0.0","0","35","6.7%","11","7","6","2","0","0","0","0","15"
"142","Deonte Thompson (FA)","7","10","96","9.6","79","7.9","79","7.9","17","1.7","0","0.0","0","19","3.7%","10","0","2","3","1","1","0","0","33"
"143","Jacoby Ford (FA)","14","13","99","7.6","26","2.0","26","2.0","73","5.6","0","0.0","0","24","4.7%","13","1","3","5","1","0","0","0","22"
"144","Mario Manningham (FA)","6","9","85","9.4","68","7.6","68","7.6","17","1.9","0","0.0","0","23","5.6%","9","2","0","6","0","0","0","0","14"
"145","Ryan Broyles (FA)","6","8","85","10.6","47","5.9","47","5.9","38","4.8","0","0.0","0","14","2.2%","8","3","1","3","1","0","0","0","22"
"146","Chris Hogan (FA)","16","10","83","8.3","56","5.6","56","5.6","27","2.7","0","0.0","0","17","3.3%","10","0","0","4","0","0","0","0","16"
"147","Ricardo Lockette (FA)","8","5","82","16.4","70","14.0","70","14.0","12","2.4","0","0.0","0","7","1.7%","5","0","0","2","2","1","0","0","33"
"148","Derek Moye (FA)","7","2","20","10.0","19","9.5","19","9.5","1","0.5","0","0.0","0","6","1.0%","2","1","1","1","0","0","0","0","19"
"149","Louis Murphy (FA)","14","6","37","6.2","31","5.2","31","5.2","6","1.0","0","0.0","0","13","2.3%","6","2","2","0","0","0","0","0","8"
"150","Marlon Moore (FA)","14","7","62","8.9","54","7.7","54","7.7","8","1.1","0","0.0","0","15","3.6%","7","2","0","3","0","0","0","0","13"
"151","Nick Toon (FA)","8","4","68","17.0","59","14.8","59","14.8","9","2.3","0","0.0","0","12","1.9%","4","3","2","2","1","1","0","0","35"
"152","Stephen Burton (FA)","4","8","76","9.5","41","5.1","41","5.1","35","4.4","0","0.0","0","13","2.4%","8","1","2","4","1","0","0","0","22"
"153","Myles White (FA)","7","9","66","7.3","11","1.2","11","1.2","55","6.1","0","0.0","0","12","2.2%","9","1","2","1","0","0","0","0","15"
"154","Markus Wheaton (FA)","12","6","64","10.7","28","4.7","28","4.7","36","6.0","0","0.0","0","13","2.5%","6","2","2","3","1","0","0","0","21"
"155","Austin Collie (FA)","7","6","63","10.5","59","9.8","59","9.8","4","0.7","0","0.0","0","11","1.8%","6","0","1","3","0","0","0","0","19"
"156","Dane Sanzenbacher (FA)","10","6","61","10.2","29","4.8","29","4.8","32","5.3","0","0.0","0","8","1.4%","6","1","0","1","1","0","0","0","23"
"157","Josh Cooper (FA)","5","9","60","6.7","40","4.4","40","4.4","20","2.2","0","0.0","0","14","2.1%","9","0","0","2","0","0","0","0","16"
"158","Quinton Patton (FA)","6","3","34","11.3","26","8.7","26","8.7","8","2.7","0","0.0","0","5","1.2%","3","1","0","1","1","0","0","0","29"
"159","Pat Edwards (FA)","4","5","46","9.2","21","4.2","21","4.2","25","5.0","0","0.0","0","11","1.8%","5","1","0","2","0","0","0","0","11"
"160","Eric Page (FA)","16","4","68","17.0","47","11.8","47","11.8","21","5.3","0","0.0","0","9","1.9%","4","1","2","3","2","1","0","0","30"
"161","Nick Williams (FA)","5","3","15","5.0","14","4.7","14","4.7","1","0.3","0","0.0","0","11","1.8%","3","0","0","0","0","0","0","0","6"
"162","Lestar Jean (FA)","13","4","35","8.8","32","8.0","32","8.0","3","0.8","0","0.0","0","8","1.3%","4","1","0","2","0","0","0","0","11"
"163","Juron Criner (FA)","1","3","32","10.7","23","7.7","23","7.7","9","3.0","0","0.0","0","8","1.6%","3","0","2","1","1","0","0","0","20"
"164","Jon Baldwin (FA)","7","3","28","9.3","22","7.3","22","7.3","6","2.0","0","0.0","0","9","2.2%","3","0","2","1","0","0","0","0","15"
"165","Skye Dawson (FA)","7","2","12","6.0","7","3.5","7","3.5","5","2.5","0","0.0","0","7","1.4%","2","0","0","0","0","0","0","0","9"
"166","Chad Hall (FA)","9","2","20","10.0","3","1.5","3","1.5","17","8.5","0","0.0","0","7","1.3%","2","1","2","1","0","0","0","0","11"
"167","Jeremy Ebert (FA)","5","3","18","6.0","12","4.0","12","4.0","6","2.0","0","0.0","0","8","1.4%","3","0","2","0","0","0","0","0","8"
"168","Marcus Easley (FA)","16","2","13","6.5","12","6.0","12","6.0","1","0.5","0","0.0","0","5","1.0%","2","1","1","0","0","0","0","0","9"
"169","Brian Tyms (FA)","7","2","12","6.0","12","6.0","12","6.0","0","0.0","0","0.0","0","5","0.7%","2","0","1","0","0","0","0","0","6"
"170","Armanti Edwards (FA)","6","1","10","10.0","4","4.0","4","4.0","6","6.0","0","0.0","0","5","1.1%","1","0","0","1","0","0","0","0","10"
"171","Stephen Williams (FA)","6","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","4","1.0%","0","1","0","0","0","0","0","0","0"
""
""
